area;ponto;long;lat;coleta;data;month
cr;P5;-47.74245;-14.27379;2;24/11/2024;nov24
cr;P5;-47.74245;-14.27379;3;05/02/2025;fev25
cr;P5;-47.74245;-14.27379;4;07/06/2025;jun25
cr;P5;-47.74245;-14.27379;5;03/09/2025;set25
cr;P5;-47.74245;-14.27379;6;07/12/2025;dez25
cr;P4;-47.74243;-14.274;1;12/09/2024;set24
cr;P4;-47.74243;-14.274;2;24/11/2024;nov24
cr;P4;-47.74243;-14.274;3;05/02/2025;fev25
cr;P4;-47.74243;-14.274;4;07/06/2025;jun25
cr;P4;-47.74243;-14.274;5;03/09/2025;set25
cr;P4;-47.74243;-14.274;6;07/12/2025;dez25
cr;P3;-47.74243;-14.27422;1;12/09/2024;set24
cr;P3;-47.74243;-14.27422;2;24/11/2024;nov24
cr;P3;-47.74243;-14.27422;3;05/02/2025;fev25
cr;P3;-47.74243;-14.27422;4;07/06/2025;jun25
cr;P3;-47.74243;-14.27422;5;03/09/2025;set25
cr;P3;-47.74243;-14.27422;6;07/12/2025;dez25
ing;P10;-47.76458;-14.13476;1;10/09/2024;set24
ing;P10;-47.76458;-14.13476;2;25/11/2024;nov24
ing;P10;-47.76458;-14.13476;3;06/02/2025;fev25
ing;P10;-47.76458;-14.13476;4;08/06/2025;jun25
ing;P10;-47.76458;-14.13476;5;31/08/2025;set25
ing;P10;-47.76458;-14.13476;6;10/12/2025;dez25
ing;P9;-47.7647;-14.1349;1;10/09/2024;set24
ing;P9;-47.7647;-14.1349;2;25/11/2024;nov24
ing;P9;-47.7647;-14.1349;3;06/02/2025;fev25
ing;P9;-47.7647;-14.1349;4;08/06/2025;jun25
ing;P9;-47.7647;-14.1349;5;31/08/2025;set25
ing;P9;-47.7647;-14.1349;6;10/12/2025;dez25
ing;P8;-47.76481;-14.13518;1;10/09/2024;set24
ing;P8;-47.76481;-14.13518;2;25/11/2024;nov24
ing;P8;-47.76481;-14.13518;3;06/02/2025;fev25
